Bank Code,Year,Number of Employees,Number of Branches,Labour productivity,Network productivity,Employees Ratio,Branches Ratio,Total Deposits,Total Shareholder's Equity,Total Loans,Loan Loss Provisions  ,Non-performing Loans  ,Total Fixed Assets,Liquid Assets,Total Assets,Total Deposits Ratio,Total Loans Ratio,Total Assets Ratio,Interest Expenses,Non-Interest Expenses,Personnel Expenses,Occupancy Expenses,Other Expenses,Total Operating Expenses,Core Cost,Total Cost,Core Cost Ratio,Total Cost Ratio,Interest Incomes,Non-Interest Income,Other Incomes,Total Income,Total Income Ratio,Equity Over Total Assets,Equity Over Total Deposits,Non-performing Loans Ratio,Loan Loss Provisions Ratio,Returns Over Assets,Returns Over Equity,Net Interest Margin,Cost-Income Ratios,Liquid Assets Over Total Assets,Liquid Assets Over Total Deposits,Cumulative Gaps Over Total Assets,Off-balance Sheet Activities,Profits Before Tax,Profits After Tax,ticker
ABB,2021,4284.0,166.0,364.14,9397.46,0.02,0.02,67839732,11729061,68173079.0,810920.0,1616762.0,913863.0,47280039.0,116366981.0,0.01,0.01,0.01,3402696.0,2153141.0,991083.0,89243.0,749537.0,1829863.0,4483022.0,5555837.0,0.01,0.01,6467259.0,1794438.0,-747051.0,7514646.0,0.01,10.08,17.29,2.37,1.19,1.34,13.3,6.48,73.93,40.63,69.69,21.79,354964003.0,1958809.0,1559978.0,
ACB,2021,12112.0,372.0,792.83,25813.84,0.05,0.04,379920669,44900909,356050950.0,5861588.0,2799364.0,3762548.0,167956446.0,527769944.0,0.05,0.05,0.05,14769018.0,9925969.0,5128784.0,374435.0,2726557.0,8229776.0,20272237.0,24694987.0,0.05,0.05,33713810.0,6315399.0,-3336109.0,36693100.0,0.05,8.51,11.82,0.79,1.65,1.82,21.39,11.28,67.3,31.82,44.21,63.2,94814083.0,11998113.0,9602747.0,
AGB,2021,37564.0,2233.0,975.24,16405.74,0.15,0.26,1404875777,73084295,1189500756.0,24457489.0,24428821.0,10410433.0,368215724.0,1568126913.0,0.17,0.15,0.14,68625103.0,3463192.0,,,,,68625103.0,72088295.0,0.16,0.14,112285726.0,17855004.0,-18732286.0,111408444.0,0.15,4.66,5.2,2.05,2.06,2.34,50.13,11.86,64.71,23.48,26.21,80.88,,39320149.0,36634012.0,
BIDV,2021,27223.0,1085.0,398.24,9991.95,0.11,0.13,1380397799,86329026,1345632643.0,29103718.0,13546316.0,10741232.0,405321917.0,1761695792.0,0.17,0.17,0.16,54184600.0,25999724.0,11428468.0,1222703.0,6814150.0,19465321.0,66835771.0,80184324.0,0.15,0.15,101007908.0,22204984.0,-29480917.0,93731975.0,0.13,4.9,6.25,1.01,2.16,0.62,12.56,11.55,85.55,23.01,29.36,61.79,309372399.0,13547651.0,10841271.0,BID.VN
CTG,2021,25154.0,162.0,565.13,87749.02,0.1,0.02,1161848113,93649511,1130667767.0,25795102.0,14300465.0,10496152.0,390423479.0,1531587398.0,0.14,0.14,0.14,42839837.0,22916225.0,10013309.0,1010988.0,6161553.0,17185850.0,53864134.0,65756062.0,0.12,0.12,84628302.0,17098542.0,-18381626.0,83345218.0,0.11,6.11,8.06,1.26,2.28,0.93,15.18,10.7,78.9,25.49,33.6,56.48,694054444.0,17589156.0,14215342.0,CTG.VN
HSBC,2021,98.0,1485.0,15984.45,1054.87,0.0,0.17,111450623,12449360,47428378.0,,1027957.0,83853.0,81532557.0,129044788.0,0.01,0.01,0.01,301594.0,2738077.0,311201.0,25282.0,2105532.0,2442015.0,638077.0,3039671.0,0.0,0.01,3254833.0,1779354.0,-24692.0,5009495.0,0.01,9.65,11.17,2.17,,1.21,12.58,3.62,60.68,63.18,73.16,74.37,,1969824.0,1566476.0,
KLB,2021,3369.0,135.0,228.64,5705.73,0.01,0.02,51397605,4679417,38020523.0,366816.0,726176.0,1403268.0,44398697.0,83822488.0,0.01,0.0,0.01,3518179.0,1261645.0,761402.0,205471.0,260338.0,1227211.0,4485052.0,4779824.0,0.01,0.01,5449139.0,422337.0,-81647.0,5789829.0,0.01,5.58,9.1,1.91,0.96,0.92,16.46,4.35,82.56,52.97,86.38,17.08,,1010005.0,770273.0,
LVB,2021,10649.0,560.0,268.2,5100.16,0.04,0.07,180000000,17000000,210000000.0,3170702.0,2863454.0,1584457.0,78415543.0,290000000.0,0.02,0.03,0.03,12000000.0,5511766.0,2737169.0,273136.0,2080116.0,5090421.0,15010305.0,17511766.0,0.03,0.03,21000000.0,1454875.0,-1322250.0,21132625.0,0.03,5.86,9.44,1.36,1.51,0.98,16.8,11.48,82.87,27.04,43.56,61.59,78267371.0,3620859.0,2856088.0,
MB,2021,15910.0,301.0,830.87,43917.38,0.06,0.04,384692155,62486023,363554778.0,8757684.0,3247806.0,4678447.0,247664878.0,615898103.0,0.05,0.05,0.05,12265932.0,21274555.0,6710310.0,1086194.0,4580684.0,12377188.0,20062436.0,33540487.0,0.05,0.06,38464932.0,19632311.0,-8030051.0,50067192.0,0.07,10.15,16.24,0.89,2.41,2.15,21.16,10.58,66.99,40.21,64.38,29.65,,16526705.0,13219131.0,
MSB,2021,,,,,,,94616419,22037785,99875801.0,1686808.0,,311581.0,103478041.0,203665423.0,0.01,0.01,0.02,4122347.0,967251.0,,,,,4122347.0,5089598.0,0.01,0.01,10338591.0,5339249.0,-1567866.0,14109974.0,0.02,10.82,23.29,,1.69,3.91,36.15,6.01,36.07,50.81,109.37,29.68,,9020376.0,7966638.0,
